Timestamp,Open,High,Low,Close,Volume
1771809600.0,65111.0,65210.0,65080.0,65122.0,17.26133882
1771809660.0,65125.0,65259.0,65125.0,65213.0,4.93309767
1771809720.0,65214.0,65214.0,65067.0,65067.0,5.27519917
1771809780.0,65066.0,65259.0,65000.0,65126.0,16.23536809
1771809840.0,65104.0,65118.0,64926.0,65096.0,32.49164005
1771809900.0,65037.0,65088.0,65000.0,65060.0,9.01021266
1771809960.0,65069.0,65096.0,65000.0,65058.0,1.66515559
1771810020.0,65059.0,65293.0,65000.0,65190.0,33.09420784
1771810080.0,65190.0,65244.0,65087.0,65171.0,6.43417182
1771810140.0,65171.0,65172.0,65037.0,65037.0,2.96858722
1771810200.0,65037.0,65051.0,65000.0,65034.0,25.55936273
1771810260.0,65037.0,65154.0,65037.0,65109.0,2.56381598
1771810320.0,65112.0,65203.0,65104.0,65107.0,1.98250517
1771810380.0,65106.0,65120.0,65032.0,65087.0,2.61928623
1771810440.0,65087.0,65262.0,65087.0,65253.0,6.57031275
1771810500.0,65242.0,65242.0,65139.0,65217.0,1.62101069
1771810560.0,65211.0,65247.0,65191.0,65191.0,1.94965563
1771810620.0,65190.0,65301.0,65183.0,65256.0,19.70592072
1771810680.0,65255.0,65375.0,65255.0,65364.0,11.64580551
1771810740.0,65362.0,65362.0,65294.0,65359.0,5.42464219
1771810800.0,65378.0,65378.0,65199.0,65205.0,6.43401525
1771810860.0,65210.0,65234.0,65196.0,65196.0,1.40920719
1771810920.0,65201.0,65217.0,65147.0,65163.0,1.63263377
1771810980.0,65163.0,65163.0,65116.0,65133.0,1.26222677
1771811040.0,65125.0,65147.0,65108.0,65111.0,0.63404502
1771811100.0,65111.0,65152.0,65004.0,65004.0,36.06702646
1771811160.0,65004.0,65051.0,64746.0,64783.0,53.17276384
1771811220.0,64741.0,64885.0,64258.0,64869.0,48.04797074
1771811280.0,64874.0,64874.0,64653.0,64763.0,9.67137391
1771811340.0,64765.0,64765.0,64573.0,64651.0,22.95372138
1771811400.0,64652.0,64848.0,64615.0,64781.0,38.72100489
1771811460.0,64776.0,64776.0,64657.0,64657.0,4.92223182
1771811520.0,64644.0,64644.0,64537.0,64553.0,8.05397346
1771811580.0,64553.0,64561.0,64379.0,64436.0,37.95114039
1771811640.0,64443.0,64474.0,64380.0,64426.0,5.73417064
1771811700.0,64427.0,64520.0,64408.0,64479.0,3.35703542
1771811760.0,64479.0,64679.0,64479.0,64656.0,5.66973309
1771811820.0,64613.0,64650.0,64576.0,64591.0,23.70508503
1771811880.0,64591.0,64629.0,64583.0,64599.0,68.64440927
1771811940.0,64598.0,64598.0,64361.0,64409.0,45.57466491
1771812000.0,64408.0,64447.0,64329.0,64440.0,27.95034206
1771812060.0,64443.0,64457.0,64324.0,64413.0,3.93286319
1771812120.0,64425.0,64438.0,64352.0,64426.0,5.95287497
1771812180.0,64425.0,64578.0,64425.0,64553.0,6.40090645
1771812240.0,64552.0,64676.0,64496.0,64571.0,5.36276648
1771812300.0,64570.0,64685.0,64570.0,64601.0,2.51206317
1771812360.0,64610.0,64643.0,64583.0,64597.0,1.50676732
1771812420.0,64597.0,64620.0,64591.0,64598.0,4.1397977
1771812480.0,64596.0,64682.0,64596.0,64666.0,3.08702098
1771812540.0,64675.0,64715.0,64675.0,64715.0,34.43401843
1771812600.0,64715.0,64770.0,64661.0,64670.0,12.70821662
1771812660.0,64670.0,64682.0,64611.0,64611.0,1.96365149
1771812720.0,64610.0,64686.0,64578.0,64661.0,2.97338832
1771812780.0,64651.0,64725.0,64605.0,64715.0,2.28199712
1771812840.0,64714.0,64744.0,64696.0,64731.0,1.95626609
1771812900.0,64758.0,64767.0,64698.0,64708.0,1.97404834
1771812960.0,64708.0,64793.0,64705.0,64785.0,6.93272995
1771813020.0,64767.0,64790.0,64716.0,64773.0,1.38241599
1771813080.0,64734.0,64764.0,64687.0,64696.0,2.31291133
1771813140.0,64703.0,64713.0,64676.0,64682.0,4.78542394
1771813200.0,64682.0,64747.0,64682.0,64725.0,2.73850329
1771813260.0,64725.0,64741.0,64682.0,64687.0,0.44515753
1771813320.0,64685.0,64688.0,64585.0,64618.0,3.6122645
1771813380.0,64621.0,64621.0,64533.0,64561.0,2.98683719
1771813440.0,64563.0,64577.0,64502.0,64523.0,2.1709409
1771813500.0,64528.0,64581.0,64528.0,64580.0,1.22849366
1771813560.0,64582.0,64613.0,64546.0,64596.0,0.79664708
1771813620.0,64596.0,64637.0,64568.0,64620.0,7.53665642
1771813680.0,64620.0,64688.0,64620.0,64688.0,1.5155199
1771813740.0,64689.0,64748.0,64667.0,64748.0,0.77051539
1771813800.0,64738.0,64809.0,64738.0,64809.0,11.10811209
1771813860.0,64808.0,64871.0,64802.0,64870.0,5.43668708
1771813920.0,64871.0,64886.0,64804.0,64809.0,3.82407336
1771813980.0,64808.0,64876.0,64805.0,64872.0,6.14603656
1771814040.0,64871.0,64885.0,64852.0,64885.0,1.27997252
1771814100.0,64886.0,64887.0,64803.0,64821.0,2.27670967
1771814160.0,64821.0,64857.0,64821.0,64848.0,1.32876925
1771814220.0,64848.0,64883.0,64812.0,64812.0,1.15797343
1771814280.0,64806.0,64809.0,64770.0,64779.0,4.91847518
1771814340.0,64780.0,64784.0,64708.0,64749.0,5.83391406
1771814400.0,64748.0,64767.0,64681.0,64767.0,5.03138892
1771814460.0,64764.0,64764.0,64700.0,64710.0,2.91001242
1771814520.0,64701.0,64750.0,64677.0,64750.0,0.77935828
1771814580.0,64753.0,64763.0,64741.0,64763.0,1.22605769
1771814640.0,64767.0,64830.0,64767.0,64830.0,7.23535251
1771814700.0,64830.0,64876.0,64830.0,64844.0,2.311913
1771814760.0,64844.0,64858.0,64799.0,64813.0,1.95216803
1771814820.0,64813.0,64839.0,64795.0,64795.0,1.90151889
1771814880.0,64789.0,64814.0,64761.0,64788.0,11.12341091
1771814940.0,64782.0,64782.0,64756.0,64769.0,3.08211075
1771815000.0,64769.0,64816.0,64769.0,64814.0,1.97957999
1771815060.0,64809.0,64827.0,64787.0,64827.0,0.75908386
1771815120.0,64827.0,64832.0,64773.0,64783.0,2.93575219
1771815180.0,64790.0,64802.0,64756.0,64762.0,1.88552739
1771815240.0,64763.0,64763.0,64717.0,64727.0,1.10960303
1771815300.0,64727.0,64746.0,64699.0,64699.0,1.0586123
1771815360.0,64699.0,64726.0,64699.0,64705.0,2.01383928
1771815420.0,64705.0,64748.0,64705.0,64725.0,0.91561521
1771815480.0,64725.0,64757.0,64709.0,64746.0,1.66047183
1771815540.0,64746.0,64783.0,64746.0,64778.0,0.42578002
1771815600.0,64779.0,64782.0,64763.0,64781.0,1.42859047
1771815660.0,64782.0,64810.0,64776.0,64792.0,1.77247251
1771815720.0,64791.0,64799.0,64784.0,64799.0,0.15846494
1771815780.0,64799.0,64801.0,64781.0,64785.0,1.42195777
1771815840.0,64784.0,64887.0,64781.0,64881.0,2.26818454
1771815900.0,64881.0,64916.0,64875.0,64916.0,4.99235958
1771815960.0,64918.0,65035.0,64918.0,65013.0,14.99401998
1771816020.0,65012.0,65019.0,64998.0,65015.0,3.4868788
1771816080.0,65015.0,65015.0,64971.0,64974.0,0.77892048
1771816140.0,64975.0,64992.0,64961.0,64961.0,1.71490117
1771816200.0,64948.0,64948.0,64840.0,64851.0,2.41784034
1771816260.0,64852.0,64891.0,64836.0,64867.0,2.87322074
1771816320.0,64866.0,64899.0,64847.0,64899.0,0.50048063
1771816380.0,64899.0,64904.0,64874.0,64895.0,0.44823537
1771816440.0,64895.0,64939.0,64895.0,64929.0,1.45751558
1771816500.0,64919.0,64919.0,64883.0,64883.0,1.66547402
1771816560.0,64883.0,64883.0,64793.0,64793.0,0.95451595
1771816620.0,64794.0,64823.0,64778.0,64778.0,2.53880025
1771816680.0,64778.0,64778.0,64705.0,64738.0,3.5403907
1771816740.0,64741.0,64770.0,64740.0,64769.0,0.94870143
1771816800.0,64769.0,64776.0,64755.0,64755.0,0.47482377
1771816860.0,64718.0,64735.0,64706.0,64735.0,1.86829084
1771816920.0,64736.0,64756.0,64735.0,64756.0,0.2844288
1771816980.0,64756.0,64768.0,64735.0,64739.0,0.17724076
1771817040.0,64738.0,64751.0,64738.0,64749.0,0.87891159
1771817100.0,64744.0,64746.0,64734.0,64746.0,5.39132001
1771817160.0,64745.0,64745.0,64683.0,64684.0,0.21318142
1771817220.0,64684.0,64702.0,64684.0,64702.0,0.24387179
1771817280.0,64702.0,64752.0,64702.0,64752.0,0.36265202
1771817340.0,64753.0,64753.0,64737.0,64745.0,2.0126082
1771817400.0,64745.0,64850.0,64745.0,64847.0,1.57531483
1771817460.0,64847.0,64854.0,64765.0,64765.0,1.14055173
1771817520.0,64766.0,64815.0,64744.0,64777.0,4.61727065
1771817580.0,64778.0,64800.0,64701.0,64737.0,3.6601977
1771817640.0,64737.0,64763.0,64721.0,64763.0,1.52252143
1771817700.0,64761.0,64766.0,64740.0,64766.0,0.85258822
1771817760.0,64765.0,64863.0,64765.0,64846.0,6.05976718
1771817820.0,64847.0,64879.0,64847.0,64874.0,1.47555297
1771817880.0,64878.0,64894.0,64875.0,64881.0,0.83681495
1771817940.0,64881.0,64890.0,64881.0,64883.0,0.36653589
1771818000.0,64883.0,64923.0,64883.0,64923.0,1.05055551
1771818060.0,64924.0,64977.0,64924.0,64973.0,1.04973218
1771818120.0,64968.0,64971.0,64933.0,64933.0,1.61958085
1771818180.0,64932.0,64942.0,64926.0,64936.0,0.69743771
1771818240.0,64937.0,65003.0,64937.0,65002.0,1.14552724
1771818300.0,65003.0,65003.0,64960.0,64960.0,1.16902088
1771818360.0,64960.0,64960.0,64899.0,64899.0,1.17104471
1771818420.0,64899.0,64936.0,64899.0,64929.0,5.750801
1771818480.0,64925.0,64948.0,64921.0,64947.0,0.04730263
1771818540.0,64947.0,64947.0,64915.0,64918.0,0.89653762
1771818600.0,64918.0,64931.0,64918.0,64930.0,1.63478007
1771818660.0,64930.0,64933.0,64916.0,64933.0,1.59979162
1771818720.0,64933.0,64968.0,64919.0,64953.0,11.22887642
1771818780.0,64955.0,64994.0,64955.0,64976.0,0.58233391
1771818840.0,64975.0,64975.0,64968.0,64970.0,0.20116027
1771818900.0,64970.0,64974.0,64961.0,64973.0,1.40968743
1771818960.0,64974.0,64996.0,64974.0,64996.0,0.44517514
1771819020.0,64995.0,64995.0,64959.0,64960.0,0.35338135
1771819080.0,64960.0,64971.0,64948.0,64948.0,0.18744665
1771819140.0,64948.0,64948.0,64933.0,64933.0,0.69732674
1771819200.0,64933.0,64979.0,64933.0,64973.0,3.59173687
1771819260.0,64974.0,64985.0,64955.0,64966.0,1.58138333
1771819320.0,64966.0,64966.0,64933.0,64949.0,0.38053211
1771819380.0,64948.0,64948.0,64888.0,64900.0,1.42917626
1771819440.0,64900.0,64919.0,64886.0,64905.0,0.47376731
1771819500.0,64906.0,64913.0,64839.0,64839.0,5.86908503
1771819560.0,64839.0,64861.0,64817.0,64861.0,1.28533068
1771819620.0,64861.0,64861.0,64825.0,64850.0,1.07054033
1771819680.0,64849.0,64909.0,64845.0,64909.0,0.38353212
1771819740.0,64909.0,64929.0,64908.0,64928.0,1.03077778
1771819800.0,64928.0,64929.0,64920.0,64924.0,0.74399888
1771819860.0,64924.0,64960.0,64924.0,64960.0,0.7910003
1771819920.0,64960.0,64978.0,64957.0,64978.0,0.91330299
1771819980.0,64983.0,65014.0,64979.0,65012.0,2.36456297
1771820040.0,65008.0,65010.0,65006.0,65008.0,0.32204445
1771820100.0,65007.0,65007.0,64969.0,64969.0,0.26621722
1771820160.0,64961.0,64961.0,64893.0,64901.0,2.80350033
1771820220.0,64893.0,64913.0,64883.0,64913.0,0.30777471
1771820280.0,64900.0,64930.0,64900.0,64928.0,0.13150591
1771820340.0,64932.0,64955.0,64928.0,64937.0,1.54422367
1771820400.0,64933.0,64933.0,64817.0,64817.0,1.98833082
1771820460.0,64818.0,64818.0,64789.0,64810.0,0.52328805
1771820520.0,64803.0,64803.0,64789.0,64790.0,0.49443092
1771820580.0,64790.0,64790.0,64780.0,64780.0,0.79872245
1771820640.0,64780.0,64782.0,64779.0,64782.0,0.10834839
1771820700.0,64784.0,64784.0,64707.0,64732.0,3.19853379
1771820760.0,64731.0,64741.0,64731.0,64741.0,0.02478817
1771820820.0,64741.0,64758.0,64740.0,64758.0,0.22192824
1771820880.0,64766.0,64766.0,64751.0,64752.0,0.2221604
1771820940.0,64753.0,64761.0,64753.0,64760.0,0.61873741
1771821000.0,64760.0,64801.0,64754.0,64781.0,0.46374507
1771821060.0,64784.0,64808.0,64770.0,64774.0,1.05178996
1771821120.0,64774.0,64774.0,64747.0,64752.0,0.21744846
1771821180.0,64752.0,64775.0,64752.0,64760.0,0.72547149
1771821240.0,64760.0,64760.0,64751.0,64755.0,0.08994529
1771821300.0,64758.0,64759.0,64758.0,64759.0,0.0107584
1771821360.0,64759.0,64768.0,64740.0,64740.0,0.76647689
1771821420.0,64740.0,64740.0,64702.0,64702.0,0.6755651
1771821480.0,64703.0,64717.0,64703.0,64716.0,1.05749512
1771821540.0,64716.0,64716.0,64669.0,64670.0,1.58030222
1771821600.0,64681.0,64697.0,64675.0,64675.0,0.02603852
1771821660.0,64676.0,64700.0,64676.0,64676.0,1.03856756
1771821720.0,64673.0,64699.0,64673.0,64698.0,0.05776006
